municipio_id	municipio	estado	tempo_habitual_desloc	qtd_pessoas	tempo_medio_minutos					
2701704	Capela	AL	120	295	None					
2701704	Capela	AL	120+	27	None					
2701704	Capela	AL	Total	3800	26					
2701803	Carneiros	AL	5	820	None					
2701803	Carneiros	AL	30	1025	None					
2701803	Carneiros	AL	60	480	None					
2701803	Carneiros	AL	120	195	None					
2701803	Carneiros	AL	120+	10	None					
2701803	Carneiros	AL	Total	2530	24					
2701902	Chã Preta	AL	5	517	None					
2701902	Chã Preta	AL	30	755	None					
2701902	Chã Preta	AL	60	411	None					
2701902	Chã Preta	AL	120	177	None					
2701902	Chã Preta	AL	120+	27	None					
2701902	Chã Preta	AL	Total	1887	28					
2702009	Coité do Nóia	AL	5	810	None					
2702009	Coité do Nóia	AL	30	2082	None					
2702009	Coité do Nóia	AL	60	244	None					
2702009	Coité do Nóia	AL	120	68	None					
2702009	Coité do Nóia	AL	120+	16	None					
2702009	Coité do Nóia	AL	Total	3221	18					
2702108	Colônia Leopoldina	AL	5	660	None					
2702108	Colônia Leopoldina	AL	30	2376	None					
2702108	Colônia Leopoldina	AL	60	934	None					
2702108	Colônia Leopoldina	AL	120	225	None					
2702108	Colônia Leopoldina	AL	120+	116	None					
2702108	Colônia Leopoldina	AL	Total	4311	28					
2702207	Coqueiro Seco	AL	5	135	None					
2702207	Coqueiro Seco	AL	30	452	None					
2702207	Coqueiro Seco	AL	60	322	None					
2702207	Coqueiro Seco	AL	120	350	None					
2702207	Coqueiro Seco	AL	120+	10	None					
2702207	Coqueiro Seco	AL	Total	1269	44					
2702306	Coruripe	AL	5	2603	None					
2702306	Coruripe	AL	30	8134	None					
2702306	Coruripe	AL	60	2417	None					
2702306	Coruripe	AL	120	880	None					
2702306	Coruripe	AL	120+	241	None					
2702306	Coruripe	AL	Total	14275	26					
2702355	Craíbas	AL	5	1382	None					
2702355	Craíbas	AL	30	4196	None					
2702355	Craíbas	AL	60	705	None					
2702355	Craíbas	AL	120	90	None					
2702355	Craíbas	AL	120+	21	None					
2702355	Craíbas	AL	Total	6393	19					
2702405	Delmiro Gouveia	AL	5	2124	None					
2702405	Delmiro Gouveia	AL	30	7411	None					
2702405	Delmiro Gouveia	AL	60	1312	None					
2702405	Delmiro Gouveia	AL	120	268	None					
2702405	Delmiro Gouveia	AL	120+	100	None					
2702405	Delmiro Gouveia	AL	Total	11214	21					
2702504	Dois Riachos	AL	5	469	None					
2702504	Dois Riachos	AL	30	1060	None					
2702504	Dois Riachos	AL	60	248	None					
2702504	Dois Riachos	AL	120	18	None					
2702504	Dois Riachos	AL	120+	13	None					
2702504	Dois Riachos	AL	Total	1807	19					
2702553	Estrela de Alagoas	AL	5	1374	None					
2702553	Estrela de Alagoas	AL	30	2381	None					
2702553	Estrela de Alagoas	AL	60	523	None					
2702553	Estrela de Alagoas	AL	120	114	None					
2702553	Estrela de Alagoas	AL	120+	3	None					
2702553	Estrela de Alagoas	AL	Total	4395	18					
2702603	Feira Grande	AL	5	1249	None					
2702603	Feira Grande	AL	30	3514	None					
2702603	Feira Grande	AL	60	724	None					
2702603	Feira Grande	AL	120	75	None					
2702603	Feira Grande	AL	120+	26	None					
2702603	Feira Grande	AL	Total	5589	19					
2702702	Feliz Deserto	AL	5	261	None					
2702702	Feliz Deserto	AL	30	533	None					
2702702	Feliz Deserto	AL	60	203	None					
2702702	Feliz Deserto	AL	120	180	None					
2702702	Feliz Deserto	AL	120+	17	None					
2702702	Feliz Deserto	AL	Total	1194	32					
2702801	Flexeiras	AL	5	430	None					
2702801	Flexeiras	AL	30	1081	None					
2702801	Flexeiras	AL	60	388	None					
2702801	Flexeiras	AL	120	337	None					
2702801	Flexeiras	AL	120+	30	None					
2702801	Flexeiras	AL	Total	2267	32					
2702900	Girau do Ponciano	AL	5	2612	None					
2702900	Girau do Ponciano	AL	30	5650	None					
2702900	Girau do Ponciano	AL	60	1290	None					
2702900	Girau do Ponciano	AL	120	443	None					
2702900	Girau do Ponciano	AL	120+	65	None					
2702900	Girau do Ponciano	AL	Total	10061	21					
2703007	Ibateguara	AL	5	531	None					
2703007	Ibateguara	AL	30	1261	None					
2703007	Ibateguara	AL	60	401	None					
2703007	Ibateguara	AL	120	219	None					
2703007	Ibateguara	AL	120+	82	None					
2703007	Ibateguara	AL	Total	2495	29					
2703106	Igaci	AL	5	1183	None					
2703106	Igaci	AL	30	3333	None					
2703106	Igaci	AL	60	827	None					
2703106	Igaci	AL	120	181	None					
2703106	Igaci	AL	120+	50	None					
2703106	Igaci	AL	Total	5573	22					
2703205	Igreja Nova	AL	5	734	None					
2703205	Igreja Nova	AL	30	2295	None					
2703205	Igreja Nova	AL	60	1031	None					
2703205	Igreja Nova	AL	120	320	None					
2703205	Igreja Nova	AL	120+	14	None					
2703205	Igreja Nova	AL	Total	4393	27					
2703304	Inhapi	AL	5	1116	None					
2703304	Inhapi	AL	30	2048	None					
2703304	Inhapi	AL	60	515	None					
2703304	Inhapi	AL	120	254	None					
2703304	Inhapi	AL	120+	58	None					
2703304	Inhapi	AL	Total	3991	23					
2703403	Jacaré dos Homens	AL	5	457	None					
2703403	Jacaré dos Homens	AL	30	898	None					
2703403	Jacaré dos Homens	AL	60	183	None					
2703403	Jacaré dos Homens	AL	120	54	None					
2703403	Jacaré dos Homens	AL	120+	0	None					
2703403	Jacaré dos Homens	AL	Total	1593	19					
2703502	Jacuípe	AL	5	173	None					
2703502	Jacuípe	AL	30	601	None					
2703502	Jacuípe	AL	60	368	None					
2703502	Jacuípe	AL	120	122	None					
2703502	Jacuípe	AL	120+	29	None					
2703502	Jacuípe	AL	Total	1293	33					
2703601	Japaratinga	AL	5	443	None					
2703601	Japaratinga	AL	30	1073	None					
2703601	Japaratinga	AL	60	237	None					
2703601	Japaratinga	AL	120	89	None					
2703601	Japaratinga	AL	120+	71	None					
2703601	Japaratinga	AL	Total	1913	25					
2703700	Jaramataia	AL	5	423	None					
2703700	Jaramataia	AL	30	1009	None					
2703700	Jaramataia	AL	60	247	None					
2703700	Jaramataia	AL	120	35	None					
2703700	Jaramataia	AL	120+	13	None					
2703700	Jaramataia	AL	Total	1728	20					
2703759	Jequiá da Praia	AL	5	655	None					
2703759	Jequiá da Praia	AL	30	1389	None					
2703759	Jequiá da Praia	AL	60	421	None					
2703759	Jequiá da Praia	AL	120	285	None					
2703759	Jequiá da Praia	AL	120+	64	None					
2703759	Jequiá da Praia	AL	Total	2813	28					
2703809	Joaquim Gomes	AL	5	907	None					
2703809	Joaquim Gomes	AL	30	1861	None					
2703809	Joaquim Gomes	AL	60	696	None					
2703809	Joaquim Gomes	AL	120	464	None					
2703809	Joaquim Gomes	AL	120+	122	None					
2703809	Joaquim Gomes	AL	Total	4050	5					
2703908	Jundiá	AL	5	170	None					
2703908	Jundiá	AL	30	623	None					
2703908	Jundiá	AL	60	163	None					
2703908	Jundiá	AL	120	116	None					
2703908	Jundiá	AL	120+	9	None					
2703908	Jundiá	AL	Total	1080	28					
2704005	Junqueiro	AL	5	1425	None					
2704005	Junqueiro	AL	30	3289	None					
2704005	Junqueiro	AL	60	823	None					
2704005	Junqueiro	AL	120	312	None					
2704005	Junqueiro	AL	120+	82	None					
2704005	Junqueiro	AL	Total	5931	23					
2704104	Lagoa da Canoa	AL	5	1302	None					
2704104	Lagoa da Canoa	AL	30	3246	None					
2704104	Lagoa da Canoa	AL	60	494	None					
2704104	Lagoa da Canoa	AL	120	71	None					
2704104	Lagoa da Canoa	AL	120+	20	None					
2704104	Lagoa da Canoa	AL	Total	5133	18					
2704203	Limoeiro de Anadia	AL	5	689	None					
2704203	Limoeiro de Anadia	AL	30	2939	None					
2704203	Limoeiro de Anadia	AL	60	995	None					
2704203	Limoeiro de Anadia	AL	120	294	None					
2704203	Limoeiro de Anadia	AL	120+	35	None					
2704203	Limoeiro de Anadia	AL	Total	4952	26					
2704302	Maceió	AL	5	21646	None					
2704302	Maceió	AL	30	137948	None					
2704302	Maceió	AL	60	90105	None					
2704302	Maceió	AL	120	33999	None					
2704302	Maceió	AL	120+	4965	None					
2704302	Maceió	AL	Total	288663	36					
2704401	Major Isidoro	AL	5	909	None					
2704401	Major Isidoro	AL	30	2571	None					
2704401	Major Isidoro	AL	60	729	None					
2704401	Major Isidoro	AL	120	181	None					
2704401	Major Isidoro	AL	120+	40	None					
2704401	Major Isidoro	AL	Total	4430	23					
2704906	Mar Vermelho	AL	5	189	None					
2704906	Mar Vermelho	AL	30	514	None					
2704906	Mar Vermelho	AL	60	147	None					
2704906	Mar Vermelho	AL	120	40	None					
2704906	Mar Vermelho	AL	120+	2	None					
2704906	Mar Vermelho	AL	Total	891	23					
2704500	Maragogi	AL	5	1542	None					
2704500	Maragogi	AL	30	4413	None					
2704500	Maragogi	AL	60	1272	None					
2704500	Maragogi	AL	120	427	None					
2704500	Maragogi	AL	120+	77	None					
2704500	Maragogi	AL	Total	7732	24					
2704609	Maravilha	AL	5	844	None					
2704609	Maravilha	AL	30	1846	None					
2704609	Maravilha	AL	60	543	None					
2704609	Maravilha	AL	120	166	None					
2704609	Maravilha	AL	120+	16	None					
2704609	Maravilha	AL	Total	3415	22					
2704708	Marechal Deodoro	AL	5	1876	None					
2704708	Marechal Deodoro	AL	30	6614	None					
2704708	Marechal Deodoro	AL	60	2312	None					
2704708	Marechal Deodoro	AL	120	486	None					
2704708	Marechal Deodoro	AL	120+	71	None					
2704708	Marechal Deodoro	AL	Total	11359	25					
2704807	Maribondo	AL	5	700	None					
2704807	Maribondo	AL	30	2015	None					
2704807	Maribondo	AL	60	389	None					
2704807	Maribondo	AL	120	195	None					
2704807	Maribondo	AL	120+	6	None					
2704807	Maribondo	AL	Total	3305	22					
2705002	Mata Grande	AL	5	1619	None					
2705002	Mata Grande	AL	30	3463	None					
2705002	Mata Grande	AL	60	877	None					
2705002	Mata Grande	AL	120	229	None					
2705002	Mata Grande	AL	120+	66	None					
2705002	Mata Grande	AL	Total	6254	21					
2705101	Matriz de Camaragibe	AL	5	653	None					
2705101	Matriz de Camaragibe	AL	30	2676	None					
2705101	Matriz de Camaragibe	AL	60	767	None					
2705101	Matriz de Camaragibe	AL	120	374	None					
2705101	Matriz de Camaragibe	AL	120+	78	None					
2705101	Matriz de Camaragibe	AL	Total	4547	28					
2705200	Messias	AL	5	436	None					
2705200	Messias	AL	30	1388	None					
2705200	Messias	AL	60	765	None					
2705200	Messias	AL	120	349	None					
2705200	Messias	AL	120+	38	None					
2705200	Messias	AL	Total	2976	32					
2705309	Minador do Negrão	AL	5	236	None					
2705309	Minador do Negrão	AL	30	744	None					
2705309	Minador do Negrão	AL	60	193	None					
2705309	Minador do Negrão	AL	120	58	None					
2705309	Minador do Negrão	AL	120+	9	None					
2705309	Minador do Negrão	AL	Total	1241	23					
2705408	Monteirópolis	AL	5	373	None					
2705408	Monteirópolis	AL	30	1115	None					
2705408	Monteirópolis	AL	60	185	None					
2705408	Monteirópolis	AL	120	43	None					
2705408	Monteirópolis	AL	120+	28	None					
2705408	Monteirópolis	AL	Total	1744	21					
2705507	Murici	AL	5	448	None					
2705507	Murici	AL	30	2071	None					
2705507	Murici	AL	60	1251	None					
2705507	Murici	AL	120	534	None					
2705507	Murici	AL	120+	157	None					
2705507	Murici	AL	Total	4460	36					
2705606	Novo Lino	AL	5	501	None					
2705606	Novo Lino	AL	30	1373	None					
2705606	Novo Lino	AL	60	592	None					
2705606	Novo Lino	AL	120	185	None					
2705606	Novo Lino	AL	120+	25	None					
2705606	Novo Lino	AL	Total	2676	27					
2705705	Olho d'Água das Flores	AL	5	1585	None					
2705705	Olho d'Água das Flores	AL	30	3838	None					
2705705	Olho d'Água das Flores	AL	60	503	None					
2705705	Olho d'Água das Flores	AL	120	143	None					
2705705	Olho d'Água das Flores	AL	120+	11	None					
2705705	Olho d'Água das Flores	AL	Total	6079	18					
2705804	Olho d'Água do Casado	AL	5	586	None					
2705804	Olho d'Água do Casado	AL	30	1552	None					
2705804	Olho d'Água do Casado	AL	60	362	None					
2705804	Olho d'Água do Casado	AL	120	97	None					
2705804	Olho d'Água do Casado	AL	120+	39	None					
2705804	Olho d'Água do Casado	AL	Total	2636	22					
2705903	Olho d'Água Grande	AL	5	226	None					
2705903	Olho d'Água Grande	AL	30	826	None					
2705903	Olho d'Água Grande	AL	60	358	None					
2705903	Olho d'Água Grande	AL	120	113	None					
2705903	Olho d'Água Grande	AL	120+	4	None					
2705903	Olho d'Água Grande	AL	Total	1527	28					
2706000	Olivença	AL	5	889	None					
2706000	Olivença	AL	30	1619	None					
2706000	Olivença	AL	60	427	None					
2706000	Olivença	AL	120	35	None					
2706000	Olivença	AL	120+	23	None					
2706000	Olivença	AL	Total	2993	19					
2706109	Ouro Branco	AL	5	918	None					
2706109	Ouro Branco	AL	30	1556	None					
2706109	Ouro Branco	AL	60	315	None					
2706109	Ouro Branco	AL	120	134	None					
2706109	Ouro Branco	AL	120+	15	None					
2706109	Ouro Branco	AL	Total	2939	20					
2706208	Palestina	AL	5	212	None					
2706208	Palestina	AL	30	796	None					
2706208	Palestina	AL	60	183	None					
2706208	Palestina	AL	120	48	None					
2706208	Palestina	AL	120+	6	None					
2706208	Palestina	AL	Total	1246	23					
2706307	Palmeira dos Índios	AL	5	2462	None					
2706307	Palmeira dos Índios	AL	30	11039	None					
2706307	Palmeira dos Índios	AL	60	2305	None					
2706307	Palmeira dos Índios	AL	120	555	None					
2706307	Palmeira dos Índios	AL	120+	125	None					
2706307	Palmeira dos Índios	AL	Total	16486	23					
2706406	Pão de Açúcar	AL	5	852	None					
2706406	Pão de Açúcar	AL	30	2505	None					
2706406	Pão de Açúcar	AL	60	662	None					
2706406	Pão de Açúcar	AL	120	267	None					
2706406	Pão de Açúcar	AL	120+	30	None					
2706406	Pão de Açúcar	AL	Total	4316	24					
2706422	Pariconha	AL	5	651	None					
2706422	Pariconha	AL	30	1869	None					
2706422	Pariconha	AL	60	643	None					
2706422	Pariconha	AL	120	117	None					
2706422	Pariconha	AL	120+	24	None					
2706422	Pariconha	AL	Total	3304	23					
2706448	Paripueira	AL	5	406	None					
2706448	Paripueira	AL	30	1579	None					
2706448	Paripueira	AL	60	670	None					
2706448	Paripueira	AL	120	240	None					
2706448	Paripueira	AL	120+	52	None					
2706448	Paripueira	AL	Total	2947	30					
2706505	Passo de Camaragibe	AL	5	492	None					
2706505	Passo de Camaragibe	AL	30	1070	None					
2706505	Passo de Camaragibe	AL	60	808	None					
2706505	Passo de Camaragibe	AL	120	247	None					
2706505	Passo de Camaragibe	AL	120+	49	None					
2706505	Passo de Camaragibe	AL	Total	2666	32					
2706604	Paulo Jacinto	AL	5	331	None					
2706604	Paulo Jacinto	AL	30	1027	None					
2706604	Paulo Jacinto	AL	60	266	None					
2706604	Paulo Jacinto	AL	120	131	None					
2706604	Paulo Jacinto	AL	120+	11	None					
2706604	Paulo Jacinto	AL	Total	1765	25					
2706703	Penedo	AL	5	2036	None					
2706703	Penedo	AL	30	9249	None					
2706703	Penedo	AL	60	2356	None					
2706703	Penedo	AL	120	453	None					
2706703	Penedo	AL	120+	71	None					
2706703	Penedo	AL	Total	14165	23					
2706802	Piaçabuçu	AL	5	542	None					
2706802	Piaçabuçu	AL	30	2394	None					
2706802	Piaçabuçu	AL	60	507	None					
2706802	Piaçabuçu	AL	120	160	None					
2706802	Piaçabuçu	AL	120+	60	None					
2706802	Piaçabuçu	AL	Total	3663	24					
2706901	Pilar	AL	5	955	None					
2706901	Pilar	AL	30	3397	None					
2706901	Pilar	AL	60	1480	None					
2706901	Pilar	AL	120	537	None					
2706901	Pilar	AL	120+	62	None					
2706901	Pilar	AL	Total	6430	29					
2707008	Pindoba	AL	5	160	None					
2707008	Pindoba	AL	30	482	None					
2707008	Pindoba	AL	60	159	None					
2707008	Pindoba	AL	120	38	None					
2707008	Pindoba	AL	120+	27	None					
2707008	Pindoba	AL	Total	866	26					
2707107	Piranhas	AL	5	951	None					
2707107	Piranhas	AL	30	2802	None					
2707107	Piranhas	AL	60	1038	None					
2707107	Piranhas	AL	120	295	None					
2707107	Piranhas	AL	120+	97	None					
2707107	Piranhas	AL	Total	5183	27					
2707206	Poço das Trincheiras	AL	5	707	None					
2707206	Poço das Trincheiras	AL	30	1595	None					
2707206	Poço das Trincheiras	AL	60	497	None					
2707206	Poço das Trincheiras	AL	120	287	None					
2707206	Poço das Trincheiras	AL	120+	26	None					
2707206	Poço das Trincheiras	AL	Total	3112	26					
2707305	Porto Calvo	AL	5	1024	None					
2707305	Porto Calvo	AL	30	3506	None					
2707305	Porto Calvo	AL	60	961	None					
2707305	Porto Calvo	AL	120	339	None					
2707305	Porto Calvo	AL	120+	138	None					
2707305	Porto Calvo	AL	Total	5968	26					
2707404	Porto de Pedras	AL	5	488	None					
2707404	Porto de Pedras	AL	30	1326	None					
2707404	Porto de Pedras	AL	60	461	None					
2707404	Porto de Pedras	AL	120	165	None					
2707404	Porto de Pedras	AL	120+	33	None					
2707404	Porto de Pedras	AL	Total	2473	26					
2707503	Porto Real do Colégio	AL	5	558	None					
